headline,link,date
Algeria: Epidemic - 09-2024 - South Algeria Malaria and Diphtheria (2024-10-04),https://news.google.com/read/CBMirgFBVV95cUxPZk9ZcDVHX0VxNlhWelFnZWtMb3BTeWpkVGFxaXVZaktNWkRSMWg5S2xHbWw5eW95VTFIVVRkQ05wdzBvalM3QTRGNlBrb0RUZkVKc0JlRmx3UUlNR1NqQVBzMW00Q2k1dTdvZUZBZHVYalllUVFrQ3pZSTZjZnl2UG9JN2hMZmRlZ0NnSno4UVcyQ2I0TUFXbEU0WFo4V19XbXRlODZBYkczam5PcVE?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-10-04
Malaria outbreak hits Kerala's Ponnani; health officials sound alert,https://news.google.com/read/CBMizAFBVV95cUxPcGpxdGYxMkduZ1o5T3dJejBYVGNEUnNSOW4zbFVuc2pCekRVR1NBQUFmczZrX0ZQclNSdm8yQ2ZpdjR3MHE4STRiWmF5ZExFY0E2YU05cWxDRG5zNkhxQkhQYnBGMF84RlNCaDUzeHZRcWZHUEQ3UkE5N2F4RVBnSkNvYjd0NFhCQ1pvaWpBVDBiTlI2Y1VsT25oY1l2czRpS201OFhwbkpFNERqRG0zNldwTFhKd0pWdmVQS29VV0lvVjBWRWhPRVpOTGvSAdIBQVVfeXFMTXJFQ0JzWk1HdUR3STBWbEI3QTVWUnpCLU9FRlZ4d3JsREJ6QjhrZzRzSTJWTEQ5bDRKYzA4dmFkdjRaODgzcFpqd09vWmprcFhLMGpRbHNwWnRsVEwtM2MtLURLMldPMUI2ZVl5VWpubml3SklUR3c1czJSdlAzaGl3RVljb0VGSlVyQ1VnWFVpTUhZTmx1a01CeENGalRMQVFocnJYaUJDR0ItWFRGLVRXWEpKUlFHOUFob1doQjYyNURCS2hETmEwOTNIR1RwUUlB?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-07-18
A U.S. Response to Mosquito-Borne Disease Outbreaks,https://news.google.com/read/CBMijwFBVV95cUxOdW55OGV6N09YTGNteWctTk9VTDEwLWVZbGtReFBSOUpwSlpibDFCbm9JdlZIVlVsUTQ2RlJsZGM1WlhmZ0piZEpYQ0tJT2Y3S0I1RHdWZUc3NW1aVVg0Z3N4MEU0Ny0zR3J5cFJDd29IZnU5aS1kems3VGpmOHRFR2lRSUtqVDJmYXRIc3VYNA?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-08-13
UNICEF airlifts more lifesaving vaccines to Sudan to fight concurrent outbreaks,https://news.google.com/read/CBMiuAFBVV95cUxNYnM4akhkTm0td0x4VmlnaHgtZkdTa2JTSFFTVExtV1pmNXdnQWxWMk9IbjlId3kyS2NCb3pDVk9xUWoycHB3cUFTLTRUbWdWelhJMDY5Ymd3bVdFa0p1ZmR1LWotQmFHOVlHSWo4NE5WV3pRRFdaRnVyWU1Hdm1WM29mamJjUTNjbk1mV1ppSGRsdWVEajhxU1g4YS02VmhXOU9iRVAwd1VRSFk0UFBRSnlqOHAzREtZ?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-10-05
How climate change is fueling disease outbreaks,https://news.google.com/read/CBMifEFVX3lxTFBwa3RDbmxmYkJtWnVyN2MzNEdCZWFlak1pWDhMZXppempuZ29uaUdWUS01cU9neDlzZDFsRm9uZXF4S2plNHpGdXI0S2RoUzVLZi01ZVlJRjdUeC16UHRVV1Z1Ulo1eFRGV3dwUHd5cHpLalpaUW0zNW80Z2g?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-06-13
Climate change causes malaria cases to triple in northwest Pakistan,https://news.google.com/read/CBMimwFBVV95cUxQUGhGRGlraFpNTWxyWmFJeGxGVmJJX1FrMTE2TVUyWmNGdGZtSzhHZW9ucHpOQy15MU83Uzh5ZlZHYVRwYUJIelNjeDFfRnROWHpBS0pkcjVoWFpIcW4zcUhFUEEtS0xpZmtDdV9vUWhGRUZUYmcxMnNUOVNaRlRpVUlhc0NycUM3Y0lXeTZzSENNRTJKYXlTbEtvVQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-05-30
Impact of targeted drug administration and intermittent preventive treatment for forest goers using artesunate–pyronaridine to control malaria outbreaks in Cambodia,https://news.google.com/read/CBMigAFBVV95cUxNU0M5bmdkbjRWX1BvbEdWWWVhS09QWUlDMjIwQ1hFV0JxQnlKYUdyUk5NN1dIanNMaXRhd0NuTHltQ2lwTlRGNVE0WWE4OFU3VlZ5S1pjU1N1RG55bmVqU2NhMGJ2dU9sLVc1UXZXVGdmb3dmLWVyTy1DQkswcG9RTQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-06-11
Spraying campaign effectively controls malaria outbreak in Sohbatpur,https://news.google.com/read/CBMitgFBVV95cUxNSjVMdTNzcTNVM2FkQWM4SUNaMWF0eldzYUdBVFpJMjFsMzVvYmtlOG42NHMxNXNoTGdqMFRUM1lYa0ZJRURPTnNUenlXQ0gySmRGT1loM1diaFN5VF9SRGFfUjctMXNNWlhrcmlaS18yZm5DVmdzVDlvUGRzNEE3dTAyZlZaYXk0MzVkaGE2dGoyZDJVaUxVa1hpVzNlWTVSaWFtVG41WG1DTnRWWVlnWmN5SHpqdw?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-04-25
New malaria parasites increase health threat in Africa,https://news.google.com/read/CBMiX0FVX3lxTE5henhZSXcwNFFXSjVqV1VYdjAwSkVlT2twX3R1S3RIaEx4ZnBOYjd5SUk5ZGg4aGswNzV0TDZ0aHpLVk5WT29nUktUcnNLRlVZZDR4bWlhdHA4anExNGw4?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-12-20
Evaluation of Outbreak Preparedness to Prevent the Reintroduction of Malaria in Ramanagara District: A Descriptive Epidemiological Study,https://news.google.com/read/CBMihAJBVV95cUxOQWEzQ1dPX0QyRW5FbUpQNWhiMTB1UzdSY0tBYmFYRmMxS28zVkJrRFcwZW14czBudDNFZndUd3Z4MDRYOWNKMVNDVmFWaEQ3YUdKMV9IYVVnOE5TWjBKLW9yd0N1UTFFVlBmUTY0UjBGVTM5VHZkOWNySnlyOV9EMFViR2tkU0lTeURhaFB1aC1zdlFtUEtPY0FBR2FoWjBtWXRVTUV6QWFYUEo3bTd3ZWVVTnlGZ21Dc2FFSXpZNmFUdEtYdy1hWl9PajJFQXUwdTVfU2psaXNkNjl4cGZWdHVmYnZ2eU1NS254VUJ0OHRvcmhFRXdLUDdiS3p4Zm10MkJFMA?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-06-25
Bill Gates-funded company did not cause malaria ‘outbreak’ in the US,https://news.google.com/read/CBMidEFVX3lxTE1jQ19SdGNyVHpKQk9xcTZvRXkxYTVXQlVFUmg4ZVlHb01hRDN0ckR4WkpXSEpGNHdDNG01eThjLXJfQ0ZGeVVvWnA0NlhqWXVmcE40ZVRoTmV0cFgzLTQ0eFgtY2FyYlJHSWFPTGlsSk1zdDMz?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-09-23
"(PDF) Malaria Outbreak Investigation And Associated Risk Factors In Siraro District, Oromia Region, Ethiopia.An unmatched case-control study",https://news.google.com/read/CBMijwJBVV95cUxQRjR1cHNKNG5zdFBPSERoa19aNFZuTHVXWnQtQTY2NFZzZ08zNXh0V2w2RW5QNEZfdVJKSVh5T1pXZFJJeWxPZ2FDWUdoOGd1WDA5Y0wwSXk1dm1WU19OMlVLLTZWa1RJYkdscDQ2S0toQ0dkdGpZY1JuWHM2YklreDNxLTBYc1FWR0YwV1p2TnkwS2hGOFpYdF85UlRNSmFHQ1huNE5QVjlyRmVyWUZjdVBGN05IV1h4YjdHYk55QllfU0JZbDZkV09SdTNUTktMd1I4ZTlteGgxd24tWUxzVS1weUNfWkVPLXBZYk1xVWotaW9OZ05EdElJbERaMlA3UUV2cmN2QkxqTjBlenJJ?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-06-28
Malaria outbreak in Chhattisgarh: Tribal students’ deaths spark political row,https://news.google.com/read/CBMixAFBVV95cUxORnpmdEFBNlNkVklPemR2THlhUHMyVjNqU1NDRU14MEZ3M3lScERxemZzWmdjck5TN09ZMGF6aUpfRzJfc1RQSjhXWmVJM0RJWnNibHBYLUtNR2tMaFRTcWtzc0I0cWNqX1llZ0ltUDNibldGUWRKOUs2M01TVEdYbHFicWFYSHpESGpxdFNyR1NYUmpsTklYZkwzZGtwdjF0dFF5cTVKdV9YdEwtZ3VuYVo1U3Q5b3k5YjRSNVBucjdobW4x0gHKAUFVX3lxTE9oOWVtQ1FaczB0ZlU3X0EwLU1uSm42TWhDVDVXakphQV84TjhObkk2VEQwYW5kRmNZMS1WNzZlTzJDWTlLX01kR2FIUXY3Tm54d1J5VkkzQVR0dW1WTUh0cm5OODcwSHNTSERxT2hRdTRFaGdVZEFjT1JmU202cEEycnpJUlhrOHhkNFp4RmhuaEUxdWpWaXpIVS1SLWxseGhITU5LMTJqRldoTTN4NlVxOWxLeTZqaVZUbjBQdDBzRjVSWk9PQWV1RFE?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-07-16
"Malaria surveillance, outbreak investigation, response and its determinant factors in Waghemra Zone, Northeast Ethiopia: unmatched case–control study",https://news.google.com/read/CBMiX0FVX3lxTE05eklkQ05TOXY1WU1BekRpNGJQOFJpMVRRRTdkNVo2V3V6MVk0SU9FQURoOUhOclBtXzlrSnVyV28xOGh3QmZmNFJmcVFaQVZTdEdaclB4eWliMk1TX1E4?hl=en-IN&gl=IN&ceid=IN%3Aen,2023-06-19
WHO hands over high-quality hand-compression sprayers and spare parts to curb potential dengue outbreaks,https://news.google.com/read/CBMi6AFBVV95cUxQX2x6MDZoQWJDNVJjSGpsTHJNR1duVU5OMnZ3SVNFcjBEN2x0NVZ1SkdvUGNJRmZ3MjBXWEhaNW16ZmpIUFZrTGlpV1Z2blpiUllmWFlrYk9kajRjWHhyN2xUek4zRnJnTEhuS2dvb2ZWbmpid0IwSWVIZ3pLQlBzUFR2LXAySnNzRlZtenZRYVhSd21wcmEzZEwwa2pCX0lFWUVtU3FPcWtFLTN5ODZnUnh1a3NobDJVNU5UUkFXTmIyclZRdlczWkdaQ1hzU3RFZzNDRjZhckktN013OFVqTHBNbTVIbTVq?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-08-08
"(PDF) Investigation of Malaria Outbreak in Sagambe Area, Mutasa District, Zimbabwe",https://news.google.com/read/CBMiwwFBVV95cUxQb0t6ajVyT0E1bURZVnQ0Z1BIVzczNzNUSHpyWXYyanF2bDNwWVVvaEhuZWpGVDNIUi05dWR3Tkt2V1R1Ri01SGVqVGNIMXdIY1BvRUhmcGxpcnNwSmVlOUp3MDZubVVTMGNSYVhkWlk0WlJ6aVgySjJmSFlDWUNmbGdCWHdveXlTQ3p3LXIyZC1KN1NxZ05wdGVKNDBWdVI0MEhrdlRMXzFFQkRISkZOVGpnc2R1OWY2NTVpUzdjeWpMcXM?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-09-16
Dengue fever: Outbreak for dengue fever in Ghana - wetin e be?,https://news.google.com/read/CBMiXEFVX3lxTE9IRlZab2JFNnp1TGI5WXBqRDVOVFNpVTlScF91UzNPZjlqemlCTmhZb0U0Y3FlbWxuZFlwYUtUSFRSMEhyUDVRZ1duYjdBTjBGWUpVN0tuZ0EzMUt40gFiQVVfeXFMUENscjVUSktMS1JmdmtWQUgzQW5ZWTVKdmlTcWtJeGFqbmlnQmN3UU1pWjlaRjhqY29uWHhfRGtlNG1zdnFFUWN5Q3JFcjJPdnlVTFBhQTZkNEJSSkRxUVUxMHc?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-07-15
Malaria outbreak in Laos driven by a selective sweep for Plasmodium falciparum kelch13 R539T mutants: a genetic epidemiology analysis,https://news.google.com/read/CBMiiwFBVV95cUxORWhlLV80bVpxMnZibUJFOTQ1M2ZlNUg5QzF1MlNCM1Q3QnhKZldMUTZoM1lqUDRFY3dlUGZ4U1g3R2NHN0NDalJSREM0OUJvdGxNR1BQN1FwSE9jYVZ1MjhRckJqN1g1MzFsS0h4cERQRTJJLXVCeHgtdmRlVDl1Ny0wUW5QSVZjVmRB?hl=en-IN&gl=IN&ceid=IN%3Aen,2022-11-30
"Papua New Guinea landslide raises risk of disease outbreaks, mental health impacts",https://news.google.com/read/CBMiqAFBVV95cUxNYmhQWWtzUFRZbERWNnBZa1BPdWMycTdNU2x1ZTRYMWlTZHNYdFJQTkF0RF90eV9FWXpQOEJSS1AxUjA2ODFsc1VqMkJsNDd0dXBycmt2cWYxNGZRMk8yQ2daTjlEOHNWRkVnX29jekVQWWVQdjhzaTV5MDU2MF9BRkhTTjNfV0kzU0dPZlhYZzVjYUZCbVA5dUpUY1dUcEVubWZSRThiVTXSAa4BQVVfeXFMTWdyRkNDMDU4cGVkcTNQR0tCWm05N0lZYnZaNzVPYmIyWEtKUnM0VlFKek51U2RnRlRxVE1VMXRfOXpteHlZNU90SGNRT2JNQS1jMHU0UlNhMzV4a2V0dkRXT2dqX2VsXzYtc3pxZnczZE5tMDF6M1VvaklzeHJWc3h0N3VBeG9XUkJLTzRnaWx6VTRDaHJXN1hhWXQ1TGt6NkJWNkdObmVSTWVva21B?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-05-29
$6.3 Billion Needed Annually to Defuse Malaria Outbreaks,https://news.google.com/read/CBMiogFBVV95cUxPU2RjUXVMV2o4cVZ6V01tLXplMkpYdTZnS0hITDZ1aWM5LXNtUWQ5MlNMMHRUT1BfeUh2bzRPbnI4S0ZuLVBYMjJ1a19BVUZ0ZXRvNHVvZnV6YVJYSGR2LU9LRi1sLWlrQ3JxdGs2MC1mbGtVSkV1bW5tTVJja2k5U0JZRU1fcDNmclliY3ZYdWFEajhDbjl5Y0RSZFN1Um5BdkE?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-09-27
CDC Creates New Test to Help Fight Malaria Outbreaks,https://news.google.com/read/CBMi1AFBVV95cUxQVVpIMTA3TnU0OFlselQ2dFZuLTIzaDRrZ0RGemhnMlVKXzZFVmVvb3F4LXR0LXV5MXJlRUEwc0VDY2JBd3MwQlUwcTMwWHdUeTg2d0loWFpEaWFDS3Q1RWt4U3NET29TSFUxbFprTFpRWXdPR0p0a2tydWZ3RUpzbm5RUlhXV0o4YzUxTHI0YlBpTU5Hd3p6SlE3MDlhZGRLcXZMV2J6TGg5RlBqc3VkcFItSHVpdUlaaGhWc0E4dzVCdWJ0dGRQN3dtWk9LS1I5dTRZUg?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-06-17
Using health facility-based serological surveillance to predict receptive areas at risk of malaria outbreaks in elimination areas,https://news.google.com/read/CBMifEFVX3lxTFBJVGJkYUVzX2Ytd0M3dUNqTTBOZzR6aW5DT01GNWVIUDd5VGRGWXdLNjJiM3BLRmVIMUhSQW96bldmU1FiVTI4NGJjQTVoUkE2U00xd0oycmFSZUUydDAxV05HTG01VkFGTnRfakRITnNPbUJMT2xKaFlGVlM?hl=en-IN&gl=IN&ceid=IN%3Aen,2020-01-28
UK Confirms 32% Increase in Malaria Cases,https://news.google.com/read/CBMijwFBVV95cUxNLVQxa0FkUTFSTDRBeW00THh4U3NyQTlYdUhxUWZuV3VJTk5fbUtLLTl2cW0yQW0wdmczYUdJeG9qZ05vOGFxWnd5N3RlZVJkbnhHbFFKakwteXVLMkRLejJ1b21tblkyQmJ0T003Z01Ra2lsWlpGQ1kxQXIxeHdUUXFNUFV0ZzVMcFpuQWRlRQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-04-25
Malaria epidemics in India: Role of climatic condition and control measures,https://news.google.com/read/CBMidkFVX3lxTE16M1hYbzBsaXdua3psS0JwbXcwV0NndWZhYmM3MEZiUnhJcGFrNk1mWDFsU1JKQVZyb2c3NS1wZE9SdzdUNkd0c0kxT2lnSU5LWEJZS2o1ZUozNHl5cEVsZGxIVVdpLTRkWkVjWmkycWMyemZ4bGc?hl=en-IN&gl=IN&ceid=IN%3Aen,2020-04-10
Using Satellites to Predict Malaria Outbreaks,https://news.google.com/read/CBMiiwFBVV95cUxOaHNYWFU5ajU0ZnNkamJRMkFjS2FxbGoxT0ZveE84THpJa3MtcFlEYkoxd2o4bmVLS1JKMVYxc3V3OHpid053cW9QV2ZhSkswZURuZmxsVXg3YkJWb3VIWTY0VTFYZVJsVlQ0ajJHckNjQTJFZ2h0OXdEcUYtU3NBZzRiNXprN0EzUExj?hl=en-IN&gl=IN&ceid=IN%3Aen,2017-09-15
"Malaria outbreak facilitated by increased mosquito breeding sites near houses and cessation of indoor residual spraying, Kole district, Uganda, January-June 2019",https://news.google.com/read/CBMigwFBVV95cUxNd0hGbm50WGw5N3paRjRscTdoU3BTUTdvVE5VdTc5cWk4bDJBbnpfT2sxbFkzU3M0VzJJeF9QQ05oa3Rieks4d0xZV3hCY083QzVyc2hXTHd1REJVQXE3SEI4Rl85Y09lYTE4Z1J3RElSbFV5NTZQdDBiQ19lWFJXekJOUQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2022-10-12
