date,covid
2019-06-30,0
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,1
2020-02-23,3
2020-03-01,7
2020-03-08,24
2020-03-15,62
2020-03-22,75
2020-03-29,72
2020-04-05,66
2020-04-12,62
2020-04-19,57
2020-04-26,55
2020-05-03,52
2020-05-10,50
2020-05-17,47
2020-05-24,42
2020-05-31,41
2020-06-07,40
2020-06-14,42
2020-06-21,46
2020-06-28,48
2020-07-05,51
2020-07-12,53
2020-07-19,51
2020-07-26,52
2020-08-02,46
2020-08-09,45
2020-08-16,43
2020-08-23,40
2020-08-30,40
2020-09-06,40
2020-09-13,41
2020-09-20,41
2020-09-27,41
2020-10-04,46
2020-10-11,46
2020-10-18,46
2020-10-25,54
2020-11-01,47
2020-11-08,55
2020-11-15,57
2020-11-22,52
2020-11-29,51
2020-12-06,55
2020-12-13,58
2020-12-20,57
2020-12-27,59
2021-01-03,64
2021-01-10,65
2021-01-17,56
2021-01-24,56
2021-01-31,54
2021-02-07,48
2021-02-14,46
2021-02-21,50
2021-02-28,52
2021-03-07,56
2021-03-14,58
2021-03-21,59
2021-03-28,66
2021-04-04,65
2021-04-11,60
2021-04-18,62
2021-04-25,68
2021-05-02,62
2021-05-09,58
2021-05-16,56
2021-05-23,52
2021-05-30,54
2021-06-06,49
2021-06-13,47
2021-06-20,57
2021-06-27,51
2021-07-04,50
2021-07-11,61
2021-07-18,64
2021-07-25,64
2021-08-01,66
2021-08-08,64
2021-08-15,65
2021-08-22,60
2021-08-29,55
2021-09-05,50
2021-09-12,49
2021-09-19,43
2021-09-26,42
2021-10-03,41
2021-10-10,39
2021-10-17,37
2021-10-24,35
2021-10-31,36
2021-11-07,38
2021-11-14,41
2021-11-21,45
2021-11-28,50
2021-12-05,47
2021-12-12,65
2021-12-19,77
2021-12-26,91
2022-01-02,100
2022-01-09,85
2022-01-16,87
2022-01-23,54
2022-01-30,44
2022-02-06,38
2022-02-13,30
2022-02-20,28
2022-02-27,26
2022-03-06,24
2022-03-13,26
2022-03-20,24
2022-03-27,21
2022-04-03,21
2022-04-10,20
2022-04-17,19
2022-04-24,18
2022-05-01,16
2022-05-08,18
2022-05-15,18
2022-05-22,16
2022-05-29,16
2022-06-05,17
2022-06-12,17
2022-06-19,19
2022-06-26,20
2022-07-03,21
2022-07-10,21
2022-07-17,21
2022-07-24,18
2022-07-31,15
2022-08-07,13
2022-08-14,12
2022-08-21,11
2022-08-28,11
2022-09-04,10
2022-09-11,10
2022-09-18,10
2022-09-25,10
2022-10-02,10
2022-10-09,10
2022-10-16,10
2022-10-23,9
2022-10-30,9
2022-11-06,9
2022-11-13,9
2022-11-20,9
2022-11-27,10
2022-12-04,9
2022-12-11,10
2022-12-18,12
2022-12-25,12
2023-01-01,9
2023-01-08,8
2023-01-15,7
2023-01-22,6
2023-01-29,6
2023-02-05,6
2023-02-12,5
2023-02-19,5
2023-02-26,6
2023-03-05,5
2023-03-12,5
2023-03-19,5
2023-03-26,5
2023-04-02,5
2023-04-09,5
2023-04-16,5
2023-04-23,5
2023-04-30,5
2023-05-07,4
2023-05-14,4
2023-05-21,4
2023-05-28,4
2023-06-04,3
2023-06-11,3
2023-06-18,3
2023-06-25,3
2023-07-02,3
2023-07-09,3
2023-07-16,3
2023-07-23,3
2023-07-30,3
2023-08-06,4
2023-08-13,4
2023-08-20,6
2023-08-27,6
2023-09-03,6
2023-09-10,6
2023-09-17,6
2023-09-24,6
2023-10-01,5
2023-10-08,5
2023-10-15,4
2023-10-22,4
2023-10-29,4
2023-11-05,4
2023-11-12,4
2023-11-19,4
2023-11-26,4
2023-12-03,5
2023-12-10,5
2023-12-17,7
2023-12-24,6
2023-12-31,6
2024-01-07,5
2024-01-14,4
2024-01-21,4
2024-01-28,3
2024-02-04,3
2024-02-11,3
2024-02-18,3
2024-02-25,3
